Winner,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg096213,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
Not John Kasich,1954,12.8,29.8,24,88,960,-4.1,78.8,18.2,2.15,4069,5468,4.7,79.3,112500,40028,22150,29.4,359.13,0,511,10233,28.5,1.5,89.2,2.9,-3.8,17.2,48.6,0.2,0.5,0.1,1.1,1.2,48.7,34750,3449,866,0,0,0,28.7,0,0,44.9,1155,0
Not John Kasich,30350,22,18,59,710,10824,-2.4,76.9,18.9,2.55,14254,17977,7.6,71.5,107400,41718,21591,24.4,630.04,1277465,1805,37508,59.5,5.4,86.1,7.7,0.7,17.2,31.3,0.8,0.7,0.3,1.3,7.5,60,369861,9707,2650,23.6,0,0,0,0,0,51.4,2679,0
Not John Kasich,62807,20.4,21.6,243,1448,19716,-1.6,83.1,21.7,2.45,30106,39128,9,75.2,136300,41394,23904,24.3,626.33,1546420,4474,74273,118.6,3.2,84,4.7,1.2,19.1,7.8,0.3,0.8,0,1.6,4.8,85.2,743455,10518,6027,27.6,0,0,2.6,1.2,0,50.5,7307,0
Not John Kasich,152207,22.6,17.1,41,1650,25573,1.2,79.3,18.6,2.59,34180,42184,9.3,68.2,84700,34110,17687,24.3,1106.1,2597882,4912,92501,83.6,2,90.1,3.3,-2.6,23.7,62.2,0.6,1,0,1.3,2.1,33.6,1007038,11113,6302,34.1,0,1.3,35.2,0.5,0,53.1,6482,405655
Not John Kasich,142900,19.7,15.2,434,2003,26257,4.4,82.2,23,2.54,43971,52121,16.6,69.3,123900,41788,21182,23.2,496.41,1459950,7094,119224,240.2,4,80.4,5.1,1,18.9,6.9,0.3,1.9,0,1.5,3.4,86.4,1153530,9935,8715,27.3,0.8,1.8,4.9,0.8,0,50.2,8483,253217
Not John Kasich,733609,22,11.3,2275,8660,155345,1.1,89.7,36.1,2.5,143874,166973,27.8,60.7,149800,48359,25763,21,757.07,6109796,25311,384504,507.9,5.2,77.9,7.7,4.4,17.2,46.9,0.4,2.7,0.2,2.1,5.1,44.1,4367658,12127,27370,27.5,0.6,2.7,23.1,1.2,0,51.5,33288,3150652
Not John Kasich,4310,22,18.3,26,250,3396,-16.6,76.8,12.4,2.79,7020,9266,2.8,72.8,90400,38514,19725,29,452.78,0,899,19875,43.9,9.4,90.4,13.4,0.8,21.5,26.2,1.5,0.3,1,1.3,14.9,58,73369,3870,1186,21.6,0,0,13.2,0,0,49.6,1446,0
Not John Kasich,411477,23.7,15.1,1090,6141,118348,2.8,82.2,21.3,2.6,107350,124505,14,69.6,121300,42919,21889,21.9,807.93,11731761,17533,284307,351.9,6.4,84.7,9.4,3.2,17.9,21,0.4,2.3,0.1,1.7,6.4,69,3638406,13148,21534,25.6,0.6,2,7.1,2.3,0,51.5,20802,5481960
Not John Kasich,109382,24.6,14.5,289,1777,29965,2.4,82.3,19.2,2.66,39373,47029,13.7,65.4,107300,41366,20340,21.9,665.07,1921957,6023,107456,161.6,3.5,87.4,4.8,0.4,17.9,47.1,0.5,1.3,0.1,1.8,3.8,46.4,1021525,9801,7092,30.4,0.4,3.2,23.5,1.9,0,51.8,11981,0
Not John Kasich,18534,21.8,18.5,14,449,5968,-1.9,78.1,12.9,2.37,11854,14015,7.8,73.1,74000,32556,19037,26.4,514.17,488385,1104,28961,56.3,0.7,88.8,1.7,-3.8,20.1,31.7,0.3,0.3,0.1,1.5,1.2,65.4,192164,6936,1681,31.1,0,0,17.7,0,0,52.5,2062,0
Not John Kasich,12820,21.7,17.9,17,490,6578,0.9,77.6,12.2,2.76,11621,15176,6.3,74.3,67100,25849,14845,28.6,934.16,1398099,1714,34423,36.8,1.4,92.5,2.6,-5,30.8,65.1,0.4,0.4,0,0.9,2.3,31.5,224573,6367,1921,30.7,0,0,36.5,0,0,51.5,2053,102507
Not John Kasich,285831,24.7,13.1,2982,4548,68940,1.9,87.5,28.5,2.62,86483,98856,16.5,71.6,159300,53740,26553,25.1,680.6,3621151,14944,226073,332.2,4.6,85.3,6.5,8.5,13.4,19.5,0.9,1.8,0.1,1.9,5,71.6,2172656,10315,16798,29.2,0,1.3,8.7,1.4,0,51.7,16892,2150074
Not John Kasich,126580,21,18.9,173,1526,39455,-1.9,83.8,23.5,2.43,30548,34747,15.7,68.5,127000,43620,24561,23,337.16,1911158,4421,75129,222.8,3,85.9,3.8,0.5,18.2,4.2,0.4,1.4,0,1.9,2.5,89.9,907783,12381,5940,20.9,0,1.2,0,0.6,0,51.5,7105,208283
Not John Kasich,35265,26.2,14.4,171,765,11876,-1.2,77.5,12.3,2.73,16402,18547,10.1,70,114600,40759,19303,26.6,473.64,1047294,2856,45058,95.1,7.2,87.3,11.6,3.5,20,8.3,1.2,1.3,0.2,1.9,11.7,77.6,340609,7649,3958,20.6,0,0,0,2.7,0,50.9,3106,0
Not John Kasich,13340,19.8,22.5,0,308,3253,2.4,78.5,10.3,2.35,6892,8977,3.9,78.7,80100,33033,18456,23.6,394.14,82258,1039,16489,41.8,1.6,89,2.6,-2.1,22.1,2.5,0.6,0.5,0,1.4,2.2,93,136843,8472,1519,0,0,0,0,0,0,50.5,1689,35221
Not John Kasich,3483,17.4,18.2,0,98,474,-5.8,75.6,9.3,2.55,4556,5690,4.3,79.8,106100,33443,15747,33.1,406.43,0,793,12876,31.7,1.2,88,4.5,8.3,22.4,6,0.4,0.2,0,1.2,2.2,90.1,30486,2335,1082,23.4,0,0,0,0,0,42.7,1076,3384
Not John Kasich,208506,21.1,18.4,608,2263,38321,0.5,86.7,20.8,2.5,48728,55893,11.3,73.3,163900,45991,23788,23.9,558.71,5312323,8431,123010,220.2,2.7,85.1,3.9,2.7,13.7,3,0.4,1,0,1.5,3,91.5,1551134,12945,10063,25.7,0.3,0.9,0,0,0,51.5,11723,898029
Not John Kasich,130465,22.4,15.8,547,1881,37734,0.5,82.4,18.5,2.59,37603,42414,17.6,67,138900,41083,21649,21.6,328.76,0,6689,98963,301,4.1,83.5,6.1,4.1,19.8,4.8,0.6,1.2,0.1,1.7,5.5,87.1,1164641,12196,8469,22.6,0,1.3,0,1.9,0,51.3,7200,0
