Winner,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg096213,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
Not John Kasich,41762,23.2,17.4,35,802,11576,-2.2,77.9,17.1,2.74,14805,18111,7.5,76.3,137900,39306,18910,23.6,276.74,968514,2865,43041,155.5,8.6,91.1,13.8,1.7,20.8,4,1,2.5,0.3,1.4,13.6,78.7,492128,11672,4315,24,0,0,0,0,0,52.6,3319,0
Not John Kasich,224064,26.5,13.6,722,3953,64743,4.2,78.8,22.8,2.93,61220,69492,13.9,67.8,165300,50853,23645,25.8,392.78,6068981,13987,179684,457.5,15.4,86.1,26.2,6.2,18.7,8.1,0.9,2,0.2,1.5,27.5,61.9,2220699,12417,17307,25.1,0.6,4.4,0,6.9,0,50.1,10555,4914547
Not John Kasich,1031,16.3,20,15,73,601,-5.4,75.8,9.9,2.78,2742,5279,5.1,77.7,67800,25000,12381,25.5,471.84,0,500,9429,20,1.9,91.1,2.4,-9.5,30.6,72.6,0.4,0.7,0,0.8,1.7,24.3,21008,2183,715,31.7,0,0,55.5,0,0,46,564,0
Not John Kasich,14624,24.4,16,23,441,5221,5.8,74.2,14.1,2.6,10806,12241,9.9,70.3,106800,39993,19789,30,282.17,952054,2025,28780,102,1.4,84,1.7,-0.5,22.8,5.1,0.4,0.7,0,1.6,1.4,91.1,313130,10907,2349,22,0,0,0,0,0,51.6,1916,53193
Not John Kasich,43474,22,16.7,113,377,3921,18.2,89.2,27.3,2.79,11426,13690,2.8,86.7,203800,69223,31482,26.6,463.87,0,2338,32024,69,2.6,89.6,4.5,2.7,8,17.1,0.4,0.9,0.1,1.6,3.3,77.2,66126,2271,2514,21.1,0,0,0,0,0,50.2,3578,0
Not John Kasich,16806,21.4,20.6,35,393,5319,-1.5,80.3,15.5,2.45,10009,12943,4.6,73.7,118400,35615,20371,22.9,232.39,244785,1798,25213,108.5,2.1,87,2.8,0.7,25.4,18.8,0.2,1,0,1.5,3.6,75.4,170726,7077,1725,22.7,0,0,0,0,0,50.4,2148,58960
Not John Kasich,1886,23.6,15.7,15,118,1181,0,72.7,8.2,2.68,4321,5103,5.3,76,93200,39909,18964,38.6,296.03,0,705,11834,40,0.2,84.2,0.4,-2,24.3,10.7,0.4,0.6,0,1.8,2.5,84.4,24751,2167,1038,23.4,0,0,0,0,0,50.1,863,0
Not John Kasich,243225,27.1,10.4,1047,3354,46159,7.1,89.5,26.1,2.97,69238,77530,11.2,75,147500,60781,25299,33.3,322.13,1695755,17787,203922,633,7.4,85.7,10.2,4.9,11.2,40.6,0.3,3.4,0.1,2.2,6.4,48.6,1907354,10315,18508,33.6,0,5.4,28.9,2.7,0,52.2,17462,3076624
Not John Kasich,206115,25.7,11.7,602,2318,36198,6.7,88.8,24,2.7,52330,60555,17.3,67.1,132900,54893,25195,20.5,375.54,1422893,8976,139900,372.5,5.8,83.3,8.5,6.6,15.2,30.3,0.4,2.8,0.2,2.7,6.6,58.3,1524261,11610,8657,29.1,0,6.2,17.1,2.8,0,51.3,18505,0
Not John Kasich,2608,22.3,18.2,10,125,1727,0.2,81.1,10.3,2.69,3277,4022,6.2,72.4,83400,40771,18207,22.5,354.34,0,561,9538,26.9,0.7,89.8,1.4,-4.6,21.2,26.7,0.1,0.8,0,1.1,3.6,68.4,27252,2734,742,0,0,0,10.9,0,0,49.2,923,94087
Not John Kasich,33343,25.7,13.5,455,1162,16656,5.3,81.1,19.5,2.81,21293,23752,5.9,77.1,161300,53179,23247,29.7,339.66,1801528,4692,60485,178.1,4.4,88.8,8.5,2.3,15.9,7.2,0.4,1.9,0.1,1.6,6.7,82.7,559370,9365,6073,21.1,0,1.5,0,3.9,0,50.4,3962,568845
Not John Kasich,3412,24,15.5,53,147,1383,-1.2,83.6,13.3,2.66,5132,6230,2.1,76.1,120200,42192,21297,36.2,368.17,187450,1055,13900,37.8,3.1,84.3,5.4,-3.4,21.7,21.5,0.6,0.3,0,1.7,4.2,72.5,33351,2442,1517,27.7,0,0,0,0,0,51.3,872,0
Not John Kasich,9883,27.5,14.2,1,239,3344,5.9,79.6,9.6,2.71,5509,6412,6.1,71.3,79900,36296,17684,22,330.74,242915,852,15068,45.6,4.7,87.8,9.3,-1.4,24.5,15.6,0.8,0.6,0,1,11.3,72,204381,15440,1009,0,0,0,0,0,0,50.5,773,35858
Not John Kasich,11202,24.1,17,5,300,3935,-1.8,73.8,8.8,2.58,6220,7246,9.6,65.5,67200,26968,14757,23.1,526.49,303595,1139,16930,32.2,1.2,85,2.2,-3.9,31.5,53.6,0.2,0.7,0.1,0.9,3.3,41.9,129391,7897,1266,27.6,0,0,31.8,0,0,51.4,1109,127174
Not John Kasich,3823,22.6,15.3,10,97,946,-1.1,72.6,13.1,2.54,3354,4175,1.9,69.6,63400,26104,17565,26.4,347.28,116890,545,8340,24,2.6,85.3,4.1,9.4,29.4,43.2,0.4,0.5,0.2,1,5.1,51.2,53910,6311,716,0,0,0,0,0,0,46.8,605,0
Not John Kasich,1384,19.6,15.5,0,120,994,-9.6,75.8,11.5,2.71,3250,4066,5.1,78.9,65000,36722,16807,28.9,303.01,0,599,9980,32.9,1.7,83.7,1.9,-2.8,22.8,35,0.3,0.3,0,0.9,2.2,61.8,25209,2678,516,21.1,0,0,0,0,0,43.5,729,0
Not John Kasich,13415,24.5,15.4,28,315,2523,5.4,88.7,17.8,2.73,10384,11576,4.9,79.1,138900,51497,24485,26.5,393.93,0,1890,28669,72.8,2,87.8,2.4,0.4,16.6,24.9,0.3,0.8,0,1.1,1.5,71.9,70608,2588,2169,29.9,0,0,0,0,0,51.6,1774,42353
Not John Kasich,12041,20.7,16,18,234,2811,7.8,81.9,14.2,2.65,6393,7504,10.8,70.1,122600,41016,18800,30.1,183.5,0,1145,18317,99.8,1.7,83.1,2.6,-0.6,18.9,31.7,0.3,0.5,0,1.7,2.2,64.1,113965,6732,1544,27.8,0,0,0,0,0,52.3,1568,0
Not John Kasich,0,25.6,12.1,15,92,757,-6.5,76.4,12,2.66,3725,4295,4.9,60.9,111800,39452,17264,23,185.26,0,516,10078,54.4,2.5,78,5.5,3,26.7,22.7,1.1,1.4,0,2.7,5.5,68,0,0,731,26.7,0,0,0,0,0,49.6,784,0
Not John Kasich,66796,24.8,16.2,9,1037,14748,0.2,79.8,15,2.67,17632,21283,10.3,65.7,85200,34793,18625,23.5,807.3,0,3871,48434,60,2.2,87.7,3.3,-1.2,24.7,36.2,0.3,1.1,0,1.2,2.5,59.3,613069,12912,4485,27.9,0,0,0,0,0,52.4,3407,252146
Not John Kasich,6881,26.8,10.7,175,369,3810,20.2,83.9,20.5,2.79,9773,10698,10.4,76.2,159000,60104,26357,21.2,355.78,0,1950,28298,79.5,3.5,86.1,5.4,3.2,11.2,20.7,0.4,2.4,0.1,1.4,2.6,72.9,123990,3754,2208,30.3,0,0,0,0,0,49.8,2267,118292
Not John Kasich,62915,28.7,7.5,242,812,12380,1.7,90.9,20.2,2.73,23046,27198,22.3,51.1,126900,43832,20791,20.1,489.8,0,2805,63453,129.5,6.5,72.9,10.9,2.7,18.7,40.8,0.8,2.4,0.6,4.3,12.1,42.2,539287,8908,3667,34.7,0,0,36.7,3,0,48.8,10207,0
Not John Kasich,5229,19.1,20.7,17,135,935,-0.6,82.1,11.4,2.3,3394,4779,2.5,78.7,103700,35625,20641,32.6,210.38,0,502,7996,38,1.1,92.6,1.6,-4.7,26.5,31.6,0.4,0.5,0,0.9,1.3,65.6,39568,4927,707,34.5,0,0,0,0,0,50.7,732,9380
Not John Kasich,1830,28.8,7.7,0,71,252,0,85,14,3.11,4841,6205,4.2,62.2,111900,42651,17158,25.1,400.29,0,532,14464,36.1,4.9,81.9,8.2,18.4,19.2,25.6,0.8,1.2,0.5,3.6,11.8,59.1,17394,1548,321,0,0,0,0,0,0,49.7,1658,0
Not John Kasich,209463,24.8,11,379,2640,38679,0.3,84,23.1,2.7,39722,45665,21.1,53.9,133700,37365,18897,18,496.07,2237776,6635,109233,220.2,3.8,78.1,5.7,3.9,24.3,36.6,0.5,1.7,0.2,2.1,5.5,54.9,1804839,17744,8867,30,0.9,3.7,12.9,3,0,51.1,9100,756457
Not John Kasich,33394,18.9,15.7,91,506,4388,5.1,85,25.4,2.62,10999,13073,8.9,68.2,165900,43775,20908,30,282.93,207779,2309,29966,105.9,3.3,80.3,4.5,4,18.1,1.9,0.7,0.7,0.1,1.8,4.9,90.5,206576,7764,3187,0,0,0,0,0,0,50.2,2423,37439
Not John Kasich,5623,19.9,14.9,3,179,2194,2.5,70.5,10.1,2.64,4887,6052,9.2,66.5,65500,30240,13865,24.5,400.64,397403,793,14740,36.8,3.6,88.9,6.6,-6.4,29.4,59.8,0.4,1.6,0.2,0.8,4.1,34,47915,3588,1101,32.3,0,0,0,0,0,45.9,895,39536
Not John Kasich,7222,23.1,15.6,66,355,2078,2.2,78.7,14.9,2.86,9732,11732,3.2,73.3,127800,42549,19939,25.3,282.31,0,2080,28120,99.6,3.1,92.5,4.9,0.7,17.9,9.4,0.4,1.2,0,1.3,4.7,83.6,119211,4291,2352,0,0,0,0,0,0,50.7,1787,57790
Not John Kasich,1021,21.8,17,10,81,1357,2.6,75.1,10.6,2.87,3000,4109,9.7,71.8,87000,33301,17479,30.9,366,0,436,8742,23.9,5.8,85.8,9,0.6,20.5,30.8,0.9,1,1.8,1.6,7.6,59.3,71742,10179,197,38.6,0,0,0,0,0,50.1,970,0
Not John Kasich,23602,25.2,15.9,19,433,5938,1.1,74.6,13.7,2.62,8143,9248,9,66,106100,37487,17922,26.4,257.46,0,1412,21875,85,1.2,90.3,2.7,-2.3,22.2,40.7,0.4,0.5,0.1,1.5,2.8,54.7,350350,16276,1609,17.1,0,3.2,0,0,0,53.1,1112,0
Not John Kasich,19840,19,21.7,24,184,1199,-7.4,80.5,15.8,2.81,4993,9299,5.8,81.5,103700,39068,21484,26.3,424.3,0,884,14333,33.8,1.7,91.4,2.7,-0.8,14.9,34.9,0.5,0.4,0.1,1.2,2,61.4,113983,9952,1217,21.2,0,0,0,0,0,50.8,1468,0
Not John Kasich,14833,22.4,18.6,24,302,3248,-2.9,73,8.9,2.62,8135,9911,4.6,69.9,91200,37333,18821,30.2,501.22,233413,1494,21992,43.9,0.7,84.3,1.7,-3.6,21.1,39.4,0.4,0.7,0,1.2,2.2,56.5,100756,4421,2142,28.6,0,0,22.9,0,0,52,1383,0
Not John Kasich,2935,23.4,19.6,0,132,1066,-0.8,79.9,11.9,2.39,2458,2752,5.8,74.5,83200,32260,19674,22.3,282.42,0,380,6125,21.7,0.7,90.4,1.1,-2.8,23,28.1,0.5,0.7,0.1,1.2,2,68.2,53450,8671,467,37.5,0,0,0,0,0,51.6,354,14952
Not John Kasich,15388,23.7,14.9,10,365,5868,-9,72.3,9.6,2.61,8131,8938,10.9,65.3,77900,32054,15694,21.2,512.09,0,1312,23498,45.9,2.3,89.5,3.7,-3.1,26.2,48,0.5,0.7,0.1,0.9,4.3,46.3,150978,6268,0,0,0,0,0,0,0,47.7,1508,169162
Not John Kasich,23756,20.9,16.8,77,507,6593,2.5,79.5,18.7,2.66,9550,10954,9.5,76.3,148300,48630,22888,27.2,395.66,118057,1875,26424,66.8,1.7,88.6,2.7,2.2,12.9,23.7,0.3,1,0,1.1,2.3,72,114402,4563,2943,26.8,0,0,15.2,0,0,49.6,2069,0
Not John Kasich,2877,22.2,15.5,11,111,924,-6.1,82.3,15.5,2.6,3185,3886,5.1,69.4,74300,32702,16460,21.4,239.52,0,544,9123,38.1,3.8,92.1,5.2,-1.4,24.5,26.8,0.1,0.4,0,1.2,6,66.5,24737,2753,0,0,0,0,0,0,0,48.3,562,0
Not John Kasich,40310,23,18.2,52,445,5451,-0.2,81.7,22.7,2.71,6513,7497,5,77.1,175700,47729,25933,27.2,347.35,239487,1820,17868,51.4,1.8,92.7,2.1,0.5,15.4,23.2,0.7,0.8,0,1.3,3,71.7,276447,15202,2113,31.7,0,0,0,0,0,51.5,1357,54916
Not John Kasich,24649,25.3,13.3,22,395,6831,1.8,69.3,9.6,2.79,14092,15777,6.9,68.9,94100,34888,16449,24.8,344.47,1605675,1756,39628,115,8.1,87.2,13.1,-0.6,22.4,1.4,0.9,0.5,0.2,1.2,14,83.3,218860,5374,2625,0,0,0,0,0,0,50.3,2122,89355
Not John Kasich,428162,24.3,12,585,4256,75855,-0.3,85.4,22.6,2.53,72243,83846,29.8,52.6,133300,41339,22856,19,216.39,2111391,13691,189885,877.5,5.4,74.6,9.1,5.4,19.6,46.1,0.5,2.5,0.2,2.8,7.5,42.4,2889210,15482,15413,35.8,0,0,37.4,2.5,0,50.8,20679,1173616
Not John Kasich,93483,27.1,11.9,181,1306,17729,0.8,84.5,19.4,2.93,33840,38351,8.1,73.5,125600,50580,21484,31.4,272.16,2205094,8657,99958,367.3,5.7,82.5,6.2,3.7,15.2,43,0.4,1.1,0.1,1.9,4.9,50,679365,7096,9515,33.4,0,0,33.4,0,0,52.3,7341,226621
Not John Kasich,38870,26.8,13.5,299,1000,9398,6.4,91.3,43.1,2.88,11485,13147,6.6,78.9,238200,75004,33801,23.7,184.29,0,3547,32808,178,5,91.7,7.4,6.9,9.3,5.4,0.3,3.9,0,1.3,4.6,84.9,326375,10357,4300,21.4,0,1.2,0,1.4,0,51.1,2131,72919
Not John Kasich,1816,21.6,18,27,168,1046,4.9,79,18,2.8,5201,6487,4.8,77,120800,45729,20493,27.9,439.01,0,980,14899,33.9,1.6,89.7,3,-1.5,16.4,17.7,0.3,0.7,0,1.8,3.9,76.1,69636,4988,1296,21.3,0,0,0,0,0,50.7,1117,8455
Not John Kasich,108987,27.8,9.5,930,1716,15576,1.9,88.5,23.4,2.99,47881,53105,5.8,82.1,135500,61837,24168,37.7,312.22,255438,10643,142324,455.8,4.1,87,6.4,4.7,11.4,18,0.4,1.1,0.1,2.1,5.7,73.8,973010,7607,11811,30.6,0,0,14.6,0,0,51.2,10479,176471
Not John Kasich,28726,22.3,13.3,161,456,5767,-4.6,82.7,19.2,2.62,9525,11273,15.6,66.6,120000,39844,19431,22.7,150.27,1057803,1823,27695,184.3,5.9,85.4,9.5,-2.8,24.6,45.1,0.5,1,0.1,1.8,7.3,45.3,317396,12122,1757,0,0,0,0,3.6,0,51.7,2354,0
Not John Kasich,27773,20.9,20.3,53,643,5890,-0.4,80.8,22.5,2.63,11083,13688,7,78.9,166300,51383,26686,28.5,232.06,104755,2864,29431,126.8,2.8,89.3,3.9,2,11.9,1.7,0.5,0.8,0,1.3,3.1,93.1,320506,10541,4125,26.4,0,0,0,0,0,50.7,2768,112023
Not John Kasich,8687,25.4,15.6,38,322,2930,-4.5,77.6,11.8,2.67,6970,7961,5.9,73.3,79600,39067,20001,26.6,316.49,0,1152,18758,59.3,2.3,86.8,4.9,1.2,20.5,9.3,0.8,0.6,0.1,1.3,5.1,83.5,99714,5586,1064,25.6,0,0,0,0,0,50.4,1398,0
Not John Kasich,2432,24.9,14.6,26,240,1463,7,85.1,17,2.86,6140,6819,4.8,84.2,152800,53865,22191,33.2,216.09,0,1352,17869,82.7,1.1,87.4,1.8,-0.5,11.2,10.5,0.3,0.5,0,1.5,1.6,86,33873,1970,1762,19.8,0,0,0,0,0,50.5,1400,16741
Not John Kasich,35178,26,14.9,10,584,9161,-1.3,72.7,13.1,2.78,14645,16940,10.5,70.8,107900,39208,18336,26.6,310.33,698637,2581,41475,133.6,8.1,85.5,13.1,-0.8,23.4,13,0.7,0.8,0.2,1.6,13,72.1,314659,7592,2391,35.8,0,0,0,0,0,50.9,2804,0
Not John Kasich,13668,19.7,18.9,17,173,1895,-0.5,77.5,9.6,2.54,4034,5136,5.7,68,87300,41550,17781,24,249.03,0,671,12010,48.2,2.2,90.9,5.9,-4.3,15.7,31.7,0.4,1.1,0.1,1.1,3.5,62.7,84491,8619,685,0,0,0,0,0,0,56.8,932,21369
Not John Kasich,19813,21.3,21.5,35,396,4444,1.8,84.5,18.7,2.49,8457,12735,5.1,77.1,140600,44764,26321,28.2,344.64,316112,1733,21218,61.6,4.7,89.6,8,-0.1,14,27.3,0.4,0.6,0.3,0.9,6.6,65,204112,10073,2259,0,0,0,0,1.1,0,51.5,2025,75508
Not John Kasich,0,17.6,27.7,5,38,231,-8.7,72.3,3.2,2.57,932,2008,1.7,77.3,62300,31068,14201,22,151.24,0,136,2513,16.6,0.3,84.5,1.7,-7.9,26.4,47.5,0.3,0.2,0,0.7,1.4,50.4,2769,1045,213,29.6,0,0,0,0,0,50.6,223,0
Not John Kasich,41073,18.3,25.5,47,454,3987,0.6,85.2,26.6,2.28,6997,12460,8,73.2,168300,35423,22260,21.9,369.99,138701,1707,16276,44,6.8,92.9,9.5,-0.2,21.5,1.6,0.5,0.9,0.1,1.7,8.4,87.7,234433,14153,2338,31.2,0,0,0,0,0,50.6,1503,0
Not John Kasich,3852,20.6,20.9,0,132,1384,-4.4,72.3,17.4,2.38,3020,4100,3.4,71.2,70300,30023,18094,19.4,428.24,0,423,7719,18,3,88.2,2.9,-5.3,25.4,60.9,0.1,0.5,0.1,0.7,2.1,36.3,44341,6087,481,0,0,0,0,0,0,53.4,576,41661
Not John Kasich,395411,23.7,12.6,730,4313,85077,-0.1,83.7,20.5,2.66,72281,87076,25.6,54.5,100900,37749,20526,20,324.33,5256290,12458,200549,618.4,3.3,80.7,5.9,0.4,25.1,55.5,0.4,1.8,0.3,2.6,4.6,36.4,2505076,12695,14147,36.1,0.3,2.8,38.1,2.4,0,51.6,20693,916435
Not John Kasich,196568,25.6,12.8,133,1927,28615,2.8,86.2,26,2.89,29317,33286,19,69,149900,52579,23461,32.3,129.79,1778787,7816,85215,656.5,10.5,81.4,11.3,3,14.7,51,0.5,1.9,0.1,2.1,10,36.4,1450095,17720,8647,29.1,0,0,34.8,2.9,0,52.7,6602,515574
Not John Kasich,879,27.7,14.7,0,58,763,-1.5,73,14.2,2.73,1829,2159,7.1,64.4,93000,38425,19037,27.6,166.91,215937,296,5010,30,2.2,88.8,7.7,3.1,22.3,21.5,0.1,0.8,0,0.9,4.4,73,18573,4503,0,0,0,0,0,0,0,52.6,267,0
Not John Kasich,8297,22.7,16.8,10,213,2384,-5.8,78.9,13,2.72,5165,6650,5.9,70.8,77000,34848,18640,28.7,645.1,183823,906,14593,22.6,0.4,88.2,1.8,-3.5,27,41.7,0.4,0.5,0,1.3,1.7,55.1,93578,6219,1171,0,0,0,0,0,0,51.2,946,17545
Not John Kasich,5449,21.8,21.8,4,187,1559,7.1,81.2,12.2,2.63,3317,4785,3.2,77,71200,30521,17641,22.6,235.23,0,623,8729,37.1,1.4,95.2,1.6,-0.5,26,33,0.2,0.8,0,1.3,2.9,62.3,76470,8485,760,0,0,0,23.7,0,0,52,644,48751
Not John Kasich,77353,24.5,16.1,141,1117,16590,-5,76.6,14.8,2.74,22997,26983,15.7,63.1,113900,41534,19783,27.8,196.47,2285175,4635,64073,326.1,2.7,83.4,4.9,-0.1,21.5,33.2,0.4,0.9,0.1,1.7,4.5,60,661569,10492,5329,36.9,0,2.5,0,0,0,51.7,5072,604327
Not John Kasich,26220,22.4,18.3,25,544,7966,2.4,80.4,14.2,2.7,9227,12506,8.8,74.7,106600,37898,18557,22.1,179.13,535710,1620,26175,146.1,2,89.9,2.9,-2.7,19.8,11.3,0.4,0.9,0.1,2.2,3,82.7,274713,10895,1962,21.7,0,0,0,0,0,51.8,1844,0
Not John Kasich,2689,15.4,15.3,0,62,787,9.3,63.1,10,2.74,1851,2336,6.7,63.3,50600,23451,13238,29.4,458.73,0,316,6058,13.2,13.6,80.7,14.8,-5.2,30.7,51.5,0.6,1,0,1.7,24.5,27.6,23878,5203,232,28.9,0,0,0,0,0,38.9,330,2608
Not John Kasich,33712,24,14.8,11,629,8951,-4.7,76.2,18.5,2.63,11493,13849,21.4,58.2,90300,33796,17879,19.9,482.7,411966,1824,32819,68,3.4,83.8,7.2,-4.8,32.3,52.8,0.6,1.4,0.2,1,5.3,40,326121,10016,2484,26.8,0,0,23.6,0,0,52.6,1955,238965
Not John Kasich,0,18.8,19.1,10,57,538,-1.5,76.7,12.3,2.49,2682,3363,4.8,75.9,76500,32424,16993,31.5,391.39,0,506,6865,17.5,0.8,92.1,2.8,-6.9,21.8,56.6,0.4,0.2,0,1.5,2.1,40.1,4663,710,777,0,0,0,46.3,0,0,52.3,541,0
Not John Kasich,0,18.5,22.4,2,17,45,-25,68.3,9.3,2.49,704,1005,4.6,73.2,68300,25465,14381,27.9,194.61,0,104,1717,8.8,1.6,85.8,2.6,-1.4,30,56.9,0.2,0.8,0,1.6,4,37.5,1710,925,0,0,0,0,0,0,0,51.1,104,0
Not John Kasich,9522,21.2,12.5,17,289,3016,-1.4,75.1,11.6,2.62,7885,9860,5.5,71.3,86100,37587,15280,24.2,479.4,0,1224,25520,53.2,5.4,82.7,11.3,-1.2,27.4,29.5,0.6,0.5,0.1,1.1,10.5,58.8,102403,4457,1241,27.6,0,2.2,0,7.7,0,42.3,1968,152023
Not John Kasich,1590,21,18.2,11,120,855,-6.7,76.4,10.1,2.24,3681,4502,4.8,69.3,60800,27455,17078,28.2,376.69,0,561,8906,23.6,1.4,84.7,1.9,-5.2,28.2,38.2,0.1,0.8,0,0.8,2.3,58.4,46384,5359,765,31.9,0,0,0,0,0,52.5,668,21407
Not John Kasich,11149,17.7,15.3,0,190,3171,-1.2,73.9,10.9,2.27,5567,7208,9.7,64.8,58300,26634,12489,20.5,437.3,0,686,16500,37.7,10.8,95.3,12.3,0.1,30.5,36.6,0.3,0.8,0.1,1,14.7,49.4,77349,5817,1139,12.6,0,0,0,0,0,40.7,1021,30505
Not John Kasich,0,23.6,17.7,3,164,1705,-0.5,65.6,8.7,2.66,3351,4157,8.7,63.4,78800,32628,16836,22.1,335.44,0,660,9315,27.8,1.2,85.3,2.4,-3.9,31.6,60.3,0.6,0.4,0.2,1.3,2.6,35.6,68284,6657,550,45.5,0,0,0,0,0,52.5,668,0
Not John Kasich,49874,24.1,16.8,71,1051,14947,-2.9,81.8,18.1,2.51,17377,20352,13.3,56.5,127000,34035,19983,20.1,544.6,657550,3142,44720,82.1,2.5,87,4.1,0.5,26.5,36.8,0.5,0.9,0,1.3,3.4,57.8,627509,13852,3741,29.8,1.3,0,0,0,0,52.6,3525,575289
Not John Kasich,92037,25.1,14,59,1017,15454,-1.1,77.5,16,2.84,13691,16402,16.3,61.1,117300,34591,18933,18.9,258.92,547460,2986,40118,154.9,5.7,87.1,11.7,1.5,27.9,30.1,0.4,1.5,0.1,1.3,11.3,56.6,721588,17119,3604,28,0,0,11.1,2.2,0,51.9,1993,612216
Not John Kasich,42329,27.3,15.2,23,673,9231,-2.1,79.2,15.2,2.6,10310,12089,15.6,62.4,88100,31189,18716,20.4,364.01,0,2010,27223,74.8,5,92.6,10,0.2,26.9,26,0.7,0.9,0.2,1.5,11.2,61.1,386338,13914,2972,33.2,0,10.2,10.9,4.6,0,52.6,1863,665035
Not John Kasich,31033,13.8,32.2,103,285,2731,-0.9,86.8,22.7,2.29,4261,7887,5.8,84.8,164000,36570,20419,20.7,166.56,0,1108,10471,62.9,3.1,87.4,4.1,6,16.3,1.2,0.3,0.7,0,0.8,2.6,94.7,102261,9426,1499,30.6,0,0,0,0,0,52.2,1303,6174
Not John Kasich,1792,24.5,15,0,82,571,2,74.4,12.3,2.52,2515,2982,4.5,68,64300,37894,19410,26,199.44,0,425,6885,34.5,0.5,92.8,1.2,-1.6,25.8,32.3,0.3,0.3,0,1.1,2.9,63.7,30428,4407,421,0,0,0,0,0,0,49.7,342,0
Not John Kasich,88719,25.3,13.7,133,1410,33030,2,81.8,18.6,2.7,24441,28250,17,60.9,121300,41161,21443,20.9,413.99,2470774,5252,67044,161.9,4.2,82,5.9,3.6,23.6,35.4,0.4,1.8,0.2,1.5,3.7,57.8,798823,12600,5768,31,0.7,1.7,25.8,0,0,51.8,4638,0
Not John Kasich,6479,26.3,18.6,65,153,1392,1.2,72.1,9.8,2.61,3166,3807,10.7,64.7,83800,28326,17609,24.8,285.39,0,576,8930,31.3,3.4,91.5,4.4,-8.7,22,39.4,0.5,0.8,0.2,0.8,4.5,55,64546,6881,817,0,0,0,0,0,0,50.9,491,103211
Not John Kasich,1349,19.1,19.6,1,75,1484,110.8,70.3,10.8,2.85,3056,4190,2.2,80,54700,31234,17952,28,358.4,0,541,9023,25.2,0.5,94.2,0.8,-7.8,28.7,40.9,0.4,0.3,0,1.4,1.9,55.7,30340,2969,788,0,0,0,0,0,0,51.1,559,0
Not John Kasich,21565,16.8,31.3,87,531,4895,0.8,84.7,19.6,2.3,9141,14255,4.3,78.3,198300,40009,22156,25.4,321.93,0,2055,21356,66.3,2,89.3,5.2,2.9,17.7,0.9,0.5,0.6,0,1.3,3.1,94,246740,11809,2666,18.8,0,0,0,0,0,51.6,2544,38051
Not John Kasich,22893,22.4,17.8,22,446,5903,-0.2,77.6,11.4,2.55,10341,12103,9.8,67,86600,35329,17978,22,323.44,526494,1667,27153,84,1.8,84.6,2.6,-3.3,20.5,28,0.4,0.7,0,1.3,2.5,67.7,208661,7575,1804,0,0,0,0,0,0,52.3,1945,0
Not John Kasich,25369,22.7,16.6,84,707,9999,-1.8,79.1,14,2.57,26191,30098,8.9,72.6,104700,39963,20865,25.9,446.38,2060559,4151,68756,154,1.1,83.8,2.4,-0.8,16.7,4.5,0.3,0.5,0.1,1.5,2,91.3,344223,5332,5297,21.7,0,0,0,0.5,0,50.7,5925,0
Not John Kasich,58350,25.9,14.2,271,1520,15244,1.6,83.1,18.4,2.84,29520,32544,9.3,75.1,157100,52369,22824,31.3,325.68,591825,7448,83768,257.2,4.4,86.9,6.4,4.6,13.8,17,0.4,1.4,0.1,1.5,3.9,76.5,797195,9577,8041,22.6,0,0,0,0,0,51.3,5764,260436
Not John Kasich,55465,23.8,16.2,94,849,11477,1.5,80.4,13.9,2.48,13460,16408,12.7,65.3,79600,34572,18842,18.9,892.46,0,1868,36312,40.7,3.4,78.2,5.8,-2.2,24.3,29.3,0.5,1.1,0.1,1.7,3.7,64.3,621068,17285,2353,0,0,0,0,0,0,50.5,2528,762673
Not John Kasich,749,21.5,20.3,0,65,599,3.6,73.2,7.3,2.55,2208,2946,7.5,65.9,66700,27796,17884,26.7,284.3,0,344,5834,20.5,0.9,88.3,2,-5.4,31.6,59.9,0.4,0.4,0,1.1,1.1,37.6,23192,3954,349,14,0,0,0,0,0,53.1,333,0
Not John Kasich,16524,22.3,16,53,336,5366,-2.3,76.2,11.1,2.7,7119,9055,7.5,72.5,82300,33652,17515,22.9,678.45,0,1231,21187,31.2,1,89.3,2.2,-2.6,25,52.7,0.2,0.6,0,1,2.2,43.9,213695,10248,1492,0,0,4.2,0,0,0,49.6,1210,69978
Not John Kasich,32909,24.4,14.7,4,538,5671,-1.5,81.3,11.4,2.76,10171,12118,6.5,69.1,80400,35830,17270,23.4,641.78,663428,1769,30099,46.9,2.9,83.8,5.6,-0.5,22.7,20.7,0.6,0.6,0.1,1.9,6.3,71,310344,10703,2102,24,0,0,0,0,0,48.1,2611,0
